file_source,city,date,temp_max,temp_min,temp_hist,feelslikemax,feelslikemin,feels_like_c_hist,dew,humidity_percent_hist,precip_daily,precipprob_hist,precipcover,preciptype,snow,snowdepth,windgust,wind_speed_kmh_hist,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations,data_source_hist,source,temp_scraped,condition,extraction_method,url,scraped_at,batch_number,batch_timestamp,record_number,collection_time,data_type,alert_active,wind_speed_kmh_scraped,alert_types,issue_date,valid_until,feels_like_c_scraped,humidity_percent_scraped,pressure_hpa,wind_speed_mps,wind_direction,weather_main,weather_description,cloud_coverage,visibility_m,timestamp,forecast_hours_ahead,forecast_time,predicted_temp_c,precipprob_scraped,confidence,generated_at,error,data_source_scraped,temp_max_lag1,temp_max_rolling3,precip_daily_lag1,precip_daily_rolling3,danger_label,city_encoded
,Bizerte,2026-02-12 21:36:06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bbc_weather,2.745302711380064,Unknown,generated,https://www.bbc.com/weather/2472776,21:36:06,-1.7034198966380236,2026-02-04T21:35:59.764326,-1.7274895708097706,21:36:27,,,,,,,-1.0857199445382553,2.2433658378360457,-1.4341599501940663,0.11107198454652246,0.0874591921912979,,,-0.5012005510101354,0.1786525923427775,,,,,,,,,scraped,,,,,0,0
,Bizerte,2026-02-12 21:36:24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,openweather_api,-1.2507338181123453,,,,21:36:24,-1.7034198966380236,2026-02-04T21:35:59.764326,-1.703284488285181,21:36:27,current_weather,,,,,,-2.816660947179214,2.776886788782582,-1.4341599501940663,-2.06094815903338,-1.040661622437502,Rain,light rain,-0.7216721458809504,0.8506995950004721,2026-02-04T21:36:24,,,,,,,,scraped,,,,,0,0
,Bizerte,2026-02-12 21:37:24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bbc_weather,2.437915286034494,Unknown,generated,https://www.bbc.com/weather/2472776,21:37:24,-1.6456768492943616,2026-02-04T21:37:20.100200,-1.6756215368285075,21:37:35,,,,,,,-1.0857199445382553,2.2433658378360457,-1.4341599501940663,0.11107198454652246,0.0874591921912979,,,-0.5012005510101354,0.1786525923427775,,,,,,,,,scraped,,,,,0,0
,Bizerte,2026-02-12 21:37:33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,openweather_api,-1.2507338181123453,,,,21:37:33,-1.6456768492943616,2026-02-04T21:37:20.100200,-1.6479585853718337,21:37:35,current_weather,,,,,,-2.816660947179214,2.776886788782582,-1.4341599501940663,-2.06094815903338,-1.040661622437502,Rain,light rain,-0.7216721458809504,0.8506995950004721,2026-02-04T21:36:24,,,,,,,,scraped,,,,,0,0
,Bizerte,2026-02-12 21:38:52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bbc_weather,-0.6359589674212054,Unknown,generated,https://www.bbc.com/weather/2472776,21:38:52,-1.5879338019506999,2026-02-04T21:38:47.883325,-1.6168377649830759,21:39:04,,,,,,,-1.0857199445382553,2.2433658378360457,-1.4341599501940663,0.11107198454652246,0.0874591921912979,,,-0.5012005510101354,0.1786525923427775,,,,,,,,,scraped,,,,,0,0
,Bizerte,2026-02-12 21:39:03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,openweather_api,-1.2507338181123453,,,,21:39:03,-1.5879338019506999,2026-02-04T21:38:47.883325,-1.5753433377980652,21:39:04,current_weather,,,,,,-2.816660947179214,2.776886788782582,-1.4341599501940663,-2.06094815903338,-1.040661622437502,Rain,light rain,-0.7216721458809504,0.8506995950004721,2026-02-04T21:36:24,,,,,,,,scraped,,,,,0,0
,Bizerte,2026-02-12 21:40:01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bbc_weather,0.5935907339610744,Unknown,generated,https://www.bbc.com/weather/2472776,21:40:01,-1.5301907546070381,2026-02-04T21:39:49.382125,-1.5580539931376443,21:40:23,,,,,,,-1.0857199445382553,2.2433658378360457,-1.4341599501940663,0.11107198454652246,0.0874591921912979,,,-0.5012005510101354,0.1786525923427775,,,,,,,,,scraped,,,,,0,0
,Bizerte,2026-02-12 21:40:22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,openweather_api,-1.2507338181123453,,,,21:40:22,-1.5301907546070381,2026-02-04T21:39:49.382125,-1.5269331727488862,21:40:23,current_weather,,,,,,-2.816660947179214,2.776886788782582,-1.4341599501940663,-2.06094815903338,-1.040661622437502,Rain,light rain,-0.7216721458809504,0.8506995950004721,2026-02-04T21:36:24,,,,,,,,scraped,,,,,0,0
,Bizerte,2026-02-12 21:41:16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bbc_weather,2.130527860688924,Unknown,generated,https://www.bbc.com/weather/2472776,21:41:16,-1.4724477072633764,2026-02-04T21:41:08.829024,-1.4992702212922127,21:41:32,,,,,,,-1.0857199445382553,2.2433658378360457,-1.4341599501940663,0.11107198454652246,0.0874591921912979,,,-0.5012005510101354,0.1786525923427775,,,,,,,,,scraped,,,,,0,0
,Bizerte,2026-02-12 21:41:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,openweather_api,-1.2507338181123453,,,,21:41:30,-1.4724477072633764,2026-02-04T21:41:08.829024,-1.471607269835539,21:41:32,current_weather,,,,,,-2.816660947179214,2.776886788782582,-1.4341599501940663,-2.06094815903338,-1.040661622437502,Rain,light rain,-0.7216721458809504,0.8506995950004721,2026-02-04T21:36:24,,,,,,,,scraped,,,,,0,0
