name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
tunisia,2016-07-14,29,22,25.5,28.6,22,25.4,14,50.1,0,0,0,,0,0,64.9,33.5,299.9,1016.5,28,10,323.7,28,9,,2016-07-14T05:11:32,2016-07-14T19:38:31,0.32,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"60714099999,60729099999,60720099999,DTTL,60728099999,60715099999,DTTA,DTTB"
tunisia,2016-07-15,27.9,21,24,27.2,21,23.9,12,48.1,0,0,0,,0,0,67.1,43.1,284,1016.9,31.4,10,315.4,27.2,9,,2016-07-15T05:12:12,2016-07-15T19:38:01,0.35,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"60714099999,60729099999,60720099999,DTTL,60728099999,60715099999,DTTA,DTTB"
tunisia,2016-07-16,29,20.1,24.2,28.2,20.1,24,12.9,51,0,0,0,,0,0,56.4,29.4,307.9,1019,25.8,9.4,318.5,27.5,9,,2016-07-16T05:12:54,2016-07-16T19:37:30,0.39,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"60714099999,60729099999,60720099999,DTTL,60728099999,60715099999,DTTA,DTTB"
tunisia,2016-07-17,30,16,24.4,29,16,24,13.5,54.5,0,0,0,,0,0,46.3,25.5,53.6,1019.9,6,10,331.4,28.7,10,,2016-07-17T05:13:36,2016-07-17T19:36:58,0.42,Clear,Clear conditions throughout the day.,clear-day,"60714099999,60729099999,60720099999,DTTL,60728099999,60715099999,DTTA,DTTB"
tunisia,2016-07-18,31,20,25.6,30.6,20,25.3,15,55.3,0,0,0,,0,0,38.8,24.4,61.6,1019.8,0,10,331.3,28.7,10,,2016-07-18T05:14:19,2016-07-18T19:36:23,0.45,Clear,Clear conditions throughout the day.,clear-day,"60714099999,60729099999,60720099999,DTTL,60728099999,60715099999,DTTA,DTTB"
tunisia,2016-07-19,31,18,25,30.3,18,24.8,15.4,58.7,0,0,0,,0,0,35.9,27.6,16.3,1018.3,4.5,10,328.8,28.2,10,,2016-07-19T05:15:02,2016-07-19T19:35:47,0.5,Clear,Clear conditions throughout the day.,clear-day,"60714099999,60729099999,60720099999,DTTL,60728099999,60715099999,DTTA,DTTB"
tunisia,2016-07-20,34.8,18,26.6,32.9,18,26,13.5,49.7,0,0,0,,0,0,38.9,20.5,16,1017.4,7.2,10,330,28.5,10,,2016-07-20T05:15:46,2016-07-20T19:35:09,0.52,Clear,Clear conditions throughout the day.,clear-day,"60714099999,60729099999,60720099999,DTTL,60728099999,60715099999,DTTA,DTTB"
tunisia,2016-07-21,36,17.3,28.4,34.3,17.3,28,13.4,43,0,0,0,,0,0,35.2,16.4,97.6,1016.5,0,10.1,331.6,28.6,10,,2016-07-21T05:16:30,2016-07-21T19:34:30,0.55,Clear,Clear conditions throughout the day.,clear-day,"60714099999,60729099999,60720099999,DTTL,60728099999,60715099999,DTTA,DTTB"
tunisia,2016-07-22,38.9,24,31.6,37.6,24,31,12.9,33.9,0,0,0,,0,0,46.4,27.6,143.8,1013.7,3.2,10,327.2,28.3,10,,2016-07-22T05:17:15,2016-07-22T19:33:49,0.59,Clear,Clear conditions throughout the day.,clear-day,"60714099999,60729099999,60720099999,DTTL,60728099999,60715099999,DTTA,DTTB"
tunisia,2016-07-23,33.9,25,29.2,35,25,29.3,15.2,45.3,0,0,0,,0,0,44.6,22.4,8.1,1014.2,22.6,10,300.5,26,9,,2016-07-23T05:18:01,2016-07-23T19:33:06,0.63,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"60714099999,60729099999,60720099999,DTTL,60728099999,60715099999,DTTA,DTTB"
tunisia,2016-07-24,31.9,23,27.4,32.9,23,27.8,18.3,58.8,0.205,100,12.5,rain,0,0,46.4,25.7,310.3,1015.8,37.5,9.8,279.1,24.1,8,,2016-07-24T05:18:47,2016-07-24T19:32:22,0.66,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"60714099999,60729099999,60720099999,DTTL,60728099999,60715099999,DTTA,DTTB"
